Name,Reviews,Stars,Address,Cars_Listed,Page_Link,Ph_no_1,Ph_no_2
ProAutos,1,5.0,"91 Radnor Road, Twickenham, Borough Of Richmond TW1 4NB",3,https://www.autotrader.co.uk/dealers/borough-of-richmond/twickenham/proautos-496475,(07901) 555005,(020) 89367630
Veloces Of London,172,4.9,"Warwick Yard, 183, Barnet, Borough Of Barnet EN4 9PA",51,https://www.autotrader.co.uk/dealers/borough-of-barnet/barnet/veloces-of-london-8323,(020) 82750630,
Motor 4 U Limited,10,3.8,"318-320 Stafford Road, Croydon, Borough Of Croydon CR0 4NH",100,https://www.autotrader.co.uk/dealers/borough-of-croydon/croydon/motor-4-u-limited-504849,(020) 86815681,(020) 86588978
Lycon Motors,34,4.8,"823 WESTERN ROAD, Willesden, Brent NW10 7LT",10,https://www.autotrader.co.uk/dealers/brent/willesden/lycon-motors-10000632,(020) 8033 7723,(07441) 927263
The London Car Company,1,5.0,"MILLMARSH LANE, Enfield, Borough Of Enfield EN3 7QA",4,https://www.autotrader.co.uk/dealers/borough-of-enfield/enfield/the-london-car-company-10017505,(020) 8033 3950,(07480) 728895
Tz Awesome Cars,16,5.0,"1a The Boulevard, Balham High Rd, Tooting, Borough Of Wandsworth SW17 7BW",7,https://www.autotrader.co.uk/dealers/borough-of-wandsworth/tooting/tz-awesome-cars-283014,(07713) 479132,(07947) 574572
Dyson Cars Ltd,32,5.0,"Greenview, Holyfield, Waltham Abbey, Essex EN9 2EW",21,https://www.autotrader.co.uk/dealers/essex/waltham-abbey/dyson-cars-ltd-10004200,(01992) 843943,(07441) 954911
B S Marson And Sons Ltd,0,,"Deansgate Garages, Keele Road, Newcastle-Under-Lyme, Shropshire ST5 2HN",97,https://www.autotrader.co.uk/dealers/shropshire/newcastle-under-lyme/b-s-marson-and-sons-ltd-364214,(01782) 933717,
R D MOTORS LTD,6,3.7,"Upper Rainham Road, Hornchurch,, Hornchurch, Havering RM12 4EU",71,https://www.autotrader.co.uk/dealers/havering/hornchurch/r-d-motors-ltd-650245,(01708) 573684,(07441) 906587
Sb Motion,36,5.0,"Coulsdon, Borough Of Croydon",21,https://www.autotrader.co.uk/dealers/borough-of-croydon/coulsdon/sb-motion-411410,(01737) 483804,
Car Village Ltd,9,4.3,"232 RUSH GREEN ROAD, Romford, Havering RM7 0LA",25,https://www.autotrader.co.uk/dealers/havering/romford/car-village-ltd-10005083,(020) 81503357,(07710) 562831
Essex Trade Sales Ltd,13,4.4,"GOBIONS FARM COLLIER ROW ROAD, Romford, Havering RM5 2BH",56,https://www.autotrader.co.uk/dealers/havering/romford/essex-trade-sales-ltd-549362,(07426) 456499,(07715) 995194
