Make,Model,Condition,Price,Year,Body_Type,Fuel_Type,Enginer_Size,Fuel_Consumption,Acceleration,GearBox,DriveTrain,CO2_Emissions,Doors,Seats,Annual_Tax
AUDI,S4 AVANT,Used,9450,2004,Estate,Petrol,4.2L,20.9 mpg,5.8,Manual,quattro,324,5 doors,5 seats,555
AUDI,S4 AVANT,Used,6499,2004,Estate,Petrol,4.2L,22.8 mpg,5.8,Automatic,quattro,298,5 doors,5 seats,315
AUDI,S4 AVANT,Used,6250,2002,Estate,Petrol,4.2L,21.1 mpg,5.8,Manual,quattro,322,5 doors,5 seats,315
AUDI,S4 AVANT,Used,6900,2004,Estate,Petrol,4.2L,22.8 mpg,5.8,Automatic,quattro,298,5 doors,5 seats,315
AUDI,S4 AVANT,Used,5500,2004,Estate,Petrol,4.2L,22.8 mpg,5.8,Automatic,quattro,298,5 doors,5 seats,555
AUDI,S4 AVANT,Used,5500,2002,Estate,Petrol,4.2L,21.1 mpg,5.8,Manual,quattro,322,5 doors,5 seats,315
AUDI,S4 AVANT,Used,4250,2002,Estate,Petrol,4.2L,22.9 mpg,5.9,Automatic,quattro,295,5 doors,5 seats,315
AUDI,S5,Used,33430,2016,Coupe,Petrol,3.0L,36.7 mpg,4.5,Automatic,quattro,174,3 doors,4 seats,140
AUDI,S5,Nearly New,42000,2016,Coupe,Petrol,3.0L,36.7 mpg,4.5,Automatic,quattro,174,3 doors,4 seats,140
AUDI,S4 AVANT,Used,5500,2004,Estate,Petrol,4.2L,22.8 mpg,5.8,Automatic,quattro,298,5 doors,5 seats,555
AUDI,S5,Nearly New,41995,2016,Convertible,Petrol,3.0L,35.3 mpg,4.9,Automatic,quattro,181,2 doors,4 seats,140
AUDI,S5,Nearly New,41995,2016,Coupe,Petrol,3.0L,36.7 mpg,4.5,Automatic,quattro,174,3 doors,4 seats,140
AUDI,S5,New,50800,2016,Coupe,Petrol,3.0L,36.7 mpg,4.5,Automatic,quattro,,3 doors,4 seats,
AUDI,S5,Nearly New,41050,2016,Convertible,Petrol,3.0L,35.3 mpg,4.9,Automatic,quattro,181,2 doors,4 seats,140
