Make,Model,Condition,Price,Year,Body_Type,Fuel_Type,Enginer_Size,Fuel_Consumption,Acceleration,GearBox,DriveTrain,CO2_Emissions,Doors,Seats,Annual_Tax,Ad_Link
AUDI,TTS,Used,26950,2014,Convertible,Petrol,2.0L,40.9 mpg,4.9,Automatic,quattro,159,2 doors,2 seats,195,https://www.autotrader.co.uk/classified/advert/201902205135047
AUDI,TTS,Used,25000,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201903075630558
AUDI,TTS,Used,25930,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902104799072
AUDI,TTS,Used,25949,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902225191180
AUDI,TTS,Used,25990,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902225205674
AUDI,TTS,Used,26480,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201810181611292
AUDI,TTS,Used,24990,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,230,https://www.autotrader.co.uk/classified/advert/201901264319553
AUDI,TTS,Used,21989,2014,Convertible,Petrol,2.0L,38.7 mpg,5.2,Manual,quattro,169,2 doors,2 seats,195,https://www.autotrader.co.uk/classified/advert/201901123881964
AUDI,TTS,Used,22360,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,230,https://www.autotrader.co.uk/classified/advert/201901123880650
AUDI,TTS,Used,20995,2014,Convertible,Petrol,2.0L,40.9 mpg,4.9,Automatic,quattro,159,2 doors,2 seats,195,https://www.autotrader.co.uk/classified/advert/201901314490959
AUDI,TTS,Used,24990,2014,Convertible,Petrol,2.0L,40.9 mpg,4.9,Automatic,quattro,159,2 doors,2 seats,195,https://www.autotrader.co.uk/classified/advert/201811162488405
AUDI,TTS,Used,21000,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902054640685
AUDI,TTS,Used,21992,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902124845207
AUDI,TTS,Used,20950,2008,Coupe,Petrol,2.0L,35.8 mpg,5.5,Manual,quattro,184,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201903045537156
AUDI,TTS,Used,17989,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,2 seats,195,https://www.autotrader.co.uk/classified/advert/201901314484279
AUDI,TTS,Used,17950,2008,Convertible,Petrol,2.0L,35.8 mpg,5.5,Automatic,quattro,184,2 doors,2 seats,250,https://www.autotrader.co.uk/classified/advert/201902074712578
AUDI,TTS,Used,17750,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201902144921771
AUDI,TTS,Used,17500,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201903105754683
AUDI,TTS,Used,17445,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201901194105654
AUDI,TTS,Used,17250,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201902144920648
AUDI,TTS,Used,17000,2008,Coupe,Petrol,2.0L,35.8 mpg,5.4,Automatic,quattro,184,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201901103811771
AUDI,TTS,Used,27800,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201803224815343
AUDI,TTS,Used,27950,2014,Convertible,Petrol,2.0L,40.9 mpg,4.9,Automatic,quattro,159,2 doors,2 seats,195,https://www.autotrader.co.uk/classified/advert/201902265314685
AUDI,TTS,Used,27790,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,,https://www.autotrader.co.uk/classified/advert/201812012918264
AUDI,TTS,Used,27750,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201901284376665
AUDI,TTS,Used,27572,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902124851522
AUDI,TTS,Used,28495,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,230,https://www.autotrader.co.uk/classified/advert/201902164987423
AUDI,TTS,Used,28800,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902104789049
AUDI,TTS,Used,28795,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,,https://www.autotrader.co.uk/classified/advert/201902285403561
AUDI,TTS,Used,28495,2014,Convertible,Petrol,2.0L,39.8 mpg,4.9,Automatic,quattro,163,2 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902044585073
AUDI,TTS,Used,28772,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201901224168360
AUDI,TTS,Used,28380,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,230,https://www.autotrader.co.uk/classified/advert/201902144945181
AUDI,TTS,Used,28490,2014,Convertible,Petrol,2.0L,39.8 mpg,4.9,Automatic,quattro,163,2 doors,4 seats,140,https://www.autotrader.co.uk/classified/advert/201811202589844
AUDI,TTS,Used,28102,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902195075054
AUDI,TTS,Used,28195,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,230,https://www.autotrader.co.uk/classified/advert/201812113161211
AUDI,TTS,Used,29950,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902124847984
AUDI,TTS,Used,29490,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902285405643
AUDI,TTS,Used,28990,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201901244260539
AUDI,TTS,Used,28995,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902285411698
AUDI,TTS,Used,29680,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902185061391
AUDI,TTS,Used,29990,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902255290485
AUDI,TTS,Used,29000,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902285376085
AUDI,TTS,Used,29990,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,,https://www.autotrader.co.uk/classified/advert/201903075641677
AUDI,TTS,Used,28980,2014,Convertible,Petrol,2.0L,37.7 mpg,5.2,Manual,quattro,,2 doors,4 seats,,https://www.autotrader.co.uk/classified/advert/201903045526584
AUDI,TTS,Used,29200,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902235218954
AUDI,TTS,Used,28948,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201812143272924
